"filename", "language", "JSON", "JSON with Comments", "TypeScript", "CSS", "TypeScript JSX", "XML", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\classes\regClass_V2.ts", "TypeScript", 0, 0, 206, 0, 0, 0, 0, 0, 0, 7, 32, 245
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\classes\spClass_V2.ts", "TypeScript", 0, 0, 140, 0, 0, 0, 0, 0, 0, 6, 18, 164
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Buttons\ActionSectionBtn\ActionSectionBtn.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Buttons\ActionSectionBtn\actionSectionBtnStyles.module.css", "CSS", 0, 0, 0, 82, 0, 0, 0, 0, 0, 9, 9, 100
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Cards\NormalCard\NormalCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Cards\NormalCard\normalCard.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Cards\Parts\CardLayout\CardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 12, 6, 50
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Cards\Parts\CardLayout\cardLayout.module.css", "CSS", 0, 0, 0, 95, 0, 0, 0, 0, 0, 4, 17, 116
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Cards\Parts\LevelIndicator\LevelIndicator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 10
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Cards\Parts\LevelIndicator\levelIndicator.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Cards\TemplateCard\TemplateCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 11, 8, 64
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\EntryPoint\EntryPoint.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 2, 7, 46
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\ErrorBoundry\ErrorBoundry.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 9, 42
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\ForTesting\Button\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 7, 4, 26
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\ForTesting\Button\button.module.css", "CSS", 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 6, 33
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\GameAssets\Labels\CircularGoldenLabel\CircularGoldenLabel.tsx", "TypeScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 7, 67
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\GameAssets\Labels\CircularGoldenLabel\circularLabelStyles.module.css", "CSS", 0, 0, 0, 56, 0, 0, 0, 0, 0, 17, 9, 82
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\GameAssets\Labels\GreenLabel\GreenLabel.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\GameAssets\Labels\GreenLabel\greenLabelStyles.module.css", "CSS", 0, 0, 0, 53, 0, 0, 0, 0, 0, 15, 8, 76
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\GameAssets\Labels\RustyLabel\RustyLabel.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\GameAssets\Labels\RustyLabel\rustyLabelStyles.module.css", "CSS", 0, 0, 0, 53, 0, 0, 0, 0, 0, 15, 8, 76
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\GameAssets\Labels\SpecialLabel\SpecialLabel.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\GameAssets\Labels\SpecialLabel\specialLabelStyles.module.css", "CSS", 0, 0, 0, 53, 0, 0, 0, 0, 0, 15, 8, 76
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\GameAssets\Labels\StandardLabel\StandardLabel.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\GameAssets\Labels\StandardLabel\standardLabelStyles.module.css", "CSS", 0, 0, 0, 52, 0, 0, 0, 0, 0, 8, 8, 68
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Game\Game.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\GlowImage\GlowImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 4, 31
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\GlowImage\styles.module.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\GlowOutlineFilter.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 4, 3, 48
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\ActionsSection\ActionsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\ActionsSection\styles.module.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\BaseModalParts\ModalCloseBtn\ModalCloseBtn.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 7, 31
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\BaseModalParts\ModalCloseBtn\modalCloseBtn.module.css", "CSS", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 7, 81
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\BaseModalParts\ModalLevelIndicator\ModalLevelIndicator.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 7, 36
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\BaseModalParts\ModalLevelIndicator\modalLevel.module.css", "CSS", 0, 0, 0, 89, 0, 0, 0, 0, 0, 2, 9, 100
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\BaseModalParts\ModalRarityIndicator\ModalRarityIndicator.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 8, 53
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\BaseModalParts\ModalRarityIndicator\modalRarity.module.css", "CSS", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 9, 98
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\BaseModal\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 35, 10, 61
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\BaseModal\baseModal.module.css", "CSS", 0, 0, 0, 51, 0, 0, 0, 0, 0, 3, 8, 62
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\CardPickerModal\CardPickerModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 126, 0, 0, 0, 0, 7, 12, 145
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\CardPickerModal\cardPickerModalStyles.module.css", "CSS", 0, 0, 0, 110, 0, 0, 0, 0, 0, 8, 16, 134
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\ConfirmationModal\ConfirmationModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 0, 15, 9, 57
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\ConfirmationModal\confirmationModalStyles.module.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 6, 50
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\StandardModal\StandardModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 70, 0, 0, 0, 0, 23, 11, 104
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\Modals\StandardModal\standardModalStyles.module.css", "CSS", 0, 0, 0, 95, 0, 0, 0, 0, 0, 8, 14, 117
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\Buildings\BuildingsOnMap.tsx", "TypeScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 2, 8, 119
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\Buildings\buildings.css", "CSS", 0, 0, 0, 60, 0, 0, 0, 0, 0, 7, 8, 75
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\DefaultBuildings\DefaultBuildingsOnMap.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\DefaultBuildings\Factory\FactoryOnMap.tsx", "TypeScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 16, 9, 65
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\DefaultBuildings\TownHall\TownHallModalLayout\CategorySections\CitizensSection\CitizensSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 3, 8, 78
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\DefaultBuildings\TownHall\TownHallModalLayout\CategorySections\CitizensSection\citizensSectionStyles.module.css", "CSS", 0, 0, 0, 54, 0, 0, 0, 0, 0, 4, 9, 67
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\DefaultBuildings\TownHall\TownHallModalLayout\CategorySections\EnergySection\EnergySection.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\DefaultBuildings\TownHall\TownHallModalLayout\CategorySections\EnergySection\energySectionStyles.module.css", "CSS", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
